country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,84.3,91.7,91.7,106,106,154,183,293,330,385,414,491,689,707,839,1010,1090,1280,1220,942,1670,1900,1530,1640,1920,2130,1990,2390,2160,2240,1760,1980,2100,2520,2820,3500,3140,3120,2860,2770,2600,2430,1380,1330,1280,1230,1170,1090,1030,810,769,813,1060,1210,909,1320,1640,2270,4200,6770,8460,12200,10800,9040,8460,9030,8660,8980,9450
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,18.3,128,297,348,433,693,627,744,462,154,121,484,928,704,1020,297,403,374,414,502,664,840,1510,1200,1440,2020,2280,2460,2080,2020,2170,2550,2680,3070,3250,3740,4350,5640,5290,4350,4590,4950,5720,6490,7590,5170,7340,7310,7630,7830,7880,8060,7440,7330,8980,5520,4290,2520,2340,1930,2090,2020,1540,1750,2980,3020,3220,3750,4290,4170,4250,3900,3930,4370,4380,4600,5240,4920,4910,5490,4620,4540,4660,4570
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.333,0.666,1,1.33,1.67,2,2.33,2.67,3,3.33,3.67,7.33,18.3,18.3,22,25.7,25.7,14.7,29.3,33,40.3,58.7,73.3,80.7,84.3,99,114,121,139,132,51.3,69.7,33,161,238,312,499,469,499,616,763,744,803,909,3790,4140,3890,4000,4160,4610,5000,5540,5220,5660,6160,6060,5670,5420,5650,6590,8430,8440,9060,11300,15100,18700,28300,38300,31900,32000,39200,41900,62500,45600,66500,46400,39200,52500,71000,72700,76100,84000,83800,79900,76800,78900,79900,82000,86200,95100,96900,87100,107000,91700,87500,83800,89500,91100,87900,107000,100000,108000,109000,120000,118000,120000,128000,133000,143000,151000,148000,147000,156000
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,407,407,411,407,425,455,466,491,513,524,524,532,535,561,576,546,539,539,517,517,491,488,477,462,466,469,483,471
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,249,312,275,348,414,502,620,594,619,549,454,1180,1150,1220,1190,1550,993,1670,2790,3580,3410,4500,4880,4870,4410,3280,3530,5400,5490,5340,5270,4640,5100,4990,4680,4640,5790,5050,4930,5090,5070,5170,5750,3870,11000,10400,7350,7280,9140,9520,9680,12600,9000,18700,19000,22100,25000,25500,27600,28900,30400,33800,33300,44300,34000,34100,34100,34600
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,29.3,29.3,36.7,47.7,103,84.3,91.7,150,348,565,990,1260,462,425,374,330,429,708,403,466,491,407,143,106,293,84.3,147,249,249,275,286,286,282,268,264,271,268,275,293,308,319,330,345,348,370,403,422,429,444,469,480,510,524,513,524,524,528,546,557,562,566
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,891,1760,1370,939,1390,1550,1990,2270,2310,2080,2350,2920,2070,2490,2820,2860,3800,3990,6260,6260,7620,5940,8910,9950,9490,10200,8680,6950,4990,2230,2520,3730,5900,5540,7300,8450,11000,11200,11300,13400,12800,13100,12800,12900,13100,13200,14300,14000,15100,16700,16400,17400,15900,14000,13500,14100,14000,13700,13700,14500,17400,15400,30000,35000,36100,35200,36800,39600,44300,47700,44200,49000,48800,51200,53700,50100,55700,58900,63100,65500,69100,77300,82700,88900,90100,94000,95500,94900,99700,101000,103000,111000,109000,102000,103000,105000,106000,100000,104000,115000,121000,117000,112000,117000,121000,118000,122000,128000,135000,138000,139000,147000,142000,133000,124000,135000,157000,162000,175000,174000,188000,179000,187000,190000,192000,192000,195000,200000,200000,200000,196000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.0384,0.0256,0.032,0.0417,0.0515,0.0613,0.0711,0.0808,0.0906,0.1,0.11,0.12,0.13,0.139,0.149,0.159,0.169,0.179,0.188,0.198,0.279,0.359,0.44,0.52,0.601,0.682,0.763,0.844,0.895,1.18,1.5,1.36,1.42,1.59,1.52,4.81,5.52,4.59,6.23,6.76,9.12,9.36,8.79,10.7,12.3,15.2,15.6,20.3,20.9,24.5,25.8,27.2,30.9,31.4,34.2,35.1,37.1,38.7,41.8,47.3,52.1,55.1,64.6,65.8,75.6,77,89,99.9,116,131,135,130,127,142,126,144,161,162,172,168,174,198,215,194,178,189,174,69.5,59.4,54.2,58.7,71.6,79.1,94.3,93.1,135,168,186,201,273,328,369,412,499,565,648,662,699,707,848,745,513,655,613,649,730,878,935,1060,1180,1280,1370,1450,1590,1800,1970,2160,2310,6920,7210,7440,7810,8380,8920,9460,10000,10500,10800,11200,11800,12500,13200,13800,14300,15000,15600,16100,16700,16800,17500,17200,17500,17800,17900,19300,19400,19300,19800,19400,18100,18800,5860,2580,2720,3440,2590,3270,3400,3050,3490,3540,3080,3460,3690,4380,4410,5100,5580,4370,4260,4970,5750,5540,5560,4840,5180,5010,5580
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,279,510,356,400,268,422,697,895,733,642,601,693,708,869,891,829,931,1070,968,1460,2210,1770,2010,2430,2570,2910,2890,3040,3530,3430,3550,4010,4150,3970,4360,4590,4510,4980,5620,5790,10200,11400,11400,11200,11600,12100,14400,15500,16800,14600,17500,19300,20800,22400,24500,21800,19300,20800,23000,21800,25800,23200,24400,24900,27100,28300,27900,28900,26300,23700,22000,19600,20400,21600,22700,25300,27100,28900,28100,32200,29100,34600,36500,35000,34200,32700,35500,38000,38500,37700,54800,59100,60300,59500,67900,70700,73100,74600,77700,83800,88200,90600,94900,101000,109000,121000,120000,129000,135000,142000,148000,153000,157000,171000,172000,176000,174000,188000,202000,205000,221000,230000,234000,225000,237000,241000,240000,256000,261000,278000,279000,280000,285000,289000,294000,306000,313000,321000,335000,344000,350000,358000,363000,370000,384000,387000,393000,401000,405000,409000,407000,405000,407000,398000,394000,403000,413000,417000,421000
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,176,183,190,197,204,211,218,225,232,239,246,253,334,359,367,348,400,403,458,477,458,477,495,480,513,429,587,634,675,708,851,1060,1170,1320,1460,1270,1600,1800,2120,2080,2340,2260,2330,2340,2810,3230,3180,3700,4240,4880,7250,5870,6150,6380,6360,5880,5080,5360,3600,4920,6080,6490,7370,10200,10000,10700,9160,7870,8100,7290,7250,8870,23700,10300,10600,11800,11500,12100,11400,12300,12000,12900,13000,15000,14500,17700,18100,20400,21300,23000,24500,24800,27700,28400,25700,25600,26900,28100,33600,42200,59000,42200,57600,48100,50000,59700,48900,34900,8040,3450,3340,3020,14500,19400,18600,17800,20100,19000,18600,20100,21200,24200,18900,18100,15200,14200,13800,13900,13600,15300,5790,6340,7350,7980,8560,9620,9400,4570,12800,17600,24500,26600,20900,23300,22100,21700,24500,29100,28200,29200,28100,27900,30800,31900,33900,37000,38900,38200,39200,39900,42300,44700,50700,52100,56100,60100,57300,54300,58300,56000,57300,61400,52100,55900,53600,51700,54300,54400,53800,57400,53000,53700,62400,66000,60500,60900,61200,64300,67700,67500,67100,65800,66400,70300,72200,77900,78000,79500,77100,74500,73800,67800,72300,70200,67600,68200,64500,66800,67400,70000,68900
